DNTNO,HDATE,HTIME,PRDCD,RSHLD,HLDBY,HLDPROG,RSCLR,CDATE,CTIME,CLRBY,CLRPROG
G052522300927S ,20240813,142724591,SP54,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522300927S ,20240813,142724763,SP55,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522301107A ,20240521,075956905,SP54,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522301107A ,20240521,075956983,SP55,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522303418M ,20240509,155504034,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525223063815 ,20240510,152434059,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525223063815 ,20240510,153201375,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522306399M ,20240510,152434121,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522306399M ,20240510,153201453,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525223070034 ,20240509,155504112,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522307303H ,20240813,142724888,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522308387Z ,20240509,155504190,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522309118O ,20240905,154336904,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522309123U ,20240905,154336982,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522309127M ,20240905,154337060,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522309141Q ,20240905,154337123,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522309147E ,20240905,154337201,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522309171E ,20240905,154337295,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G0525223091748 ,20240905,154337389,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G0525223091828 ,20240905,154337482,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G0525223091852 ,20240905,154337592,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522309188X ,20240905,154337654,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G0525223091908 ,20240905,154337732,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522309293V ,20240509,155504268,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525223093284 ,20240509,155504362,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522310041Z ,20240509,155504440,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522311462E ,20240509,155504518,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522311544A ,20240509,155504596,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522311604I ,20240905,154337810,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522311606E ,20240905,154337873,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522311607C ,20240905,154337951,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522311940N ,20240509,155504675,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525223121205 ,20240510,152434200,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525223121205 ,20240510,153201516,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522312304Q ,20240509,155504768,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522312476N ,20240521,075957202,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522313255X ,20240521,075957374,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522314351H ,20240521,075957468,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G0525223164644 ,20240503,165725476,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522318325V ,20240503,165725571,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522318583W ,20240503,165725727,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G0525223194185 ,20240503,165725821,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522320646J ,20240503,165725899,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522320776* ,20240905,154338029,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522320787U ,20240905,154338107,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522320789Q ,20240905,154338170,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522321560F ,20240611,152148730,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522321729Y ,20240905,154338248,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522323113T ,20240509,155504925,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522323160F ,20240509,155505003,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522323160F ,20240509,155505081,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525223234868 ,20240509,155505253,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G0525223261268 ,20240509,155505331,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522326269F ,20240509,155505409,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
G052522330177D ,20240905,154338310,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522330192F ,20240905,154338389,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522330248F ,20240905,154338467,PF56,COS,LLOY0026,MTHPCS11,   ,00000000,0000,        ,        
G052522330974T ,20240503,165725993,PF56,COS,MTET0001,MTHPCS11,   ,00000000,0000,        ,        
G052522331225D ,20240509,155505503,PF56,COS,IQBA0023,MTHPCS11,   ,00000000,0000,        ,        
